UniProtAC	LOC_GO	LOC_NAME	In SwissProt	ChildOf SwissProt	In LocTree3	Confirmed	Num Docs	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID
P13586	GO:0005773	vacuole	FALSE	FALSE	FALSE		5	18024560	10958666	10027971	15522090	10431803																																																																						
P32563	GO:0005794	Golgi apparatus	FALSE	FALSE	FALSE		5	21669878	17565997	24307682	11278748	9245784																																																																						
P38991	GO:0072686	mitotic spindle	FALSE	TRUE	FALSE		5	12566427	9245792	11724818	9852156	10072382																																																																						
P19524	GO:0005773	vacuole	FALSE	FALSE	FALSE		5	9843969	12642614	19218422	24187546	24636257																																																																						
P10591	GO:0005829	cytosol	FALSE	TRUE	FALSE		5	9133628	17636264	18812321	12052876	10347213																																																																						
P21576	GO:0005794	Golgi apparatus	FALSE	FALSE	FALSE		5	28256270	9570752	7698993	10679016	27812735																																																																						
P13365	GO:0005764	lysosome	FALSE	FALSE	FALSE		5	10658181	16415964	10191111	10191114	10191112																																																																						
P00729	GO:0005768	endosome	FALSE	FALSE	FALSE		5	8509446	9168472	12475953	8817003	9722605																																																																						
P00729	GO:0005764	lysosome	FALSE	FALSE	FALSE		5	16622069	11801606	19732768	8817003	19066018																																																																						
P06780	GO:0015629	actin cytoskeleton	FALSE	FALSE	FALSE		5	16324155	15546915	16146630	11737264	16421249																																																																						
P11075	GO:0016020	membrane	FALSE	FALSE	FALSE		5	22516198	26765562	25512390	25220393	1986005																																																																						
P32319	GO:0005802	trans-Golgi network	FALSE	TRUE	FALSE		5	8636229	9712845	8534908	9105038	8187177																																																																						
P0CG63	GO:0005829	cytosol	FALSE	TRUE	FALSE		5	17241446	18768754	15911347	22854296	22758659																																																																						
Q12280	GO:0032157	prospore contractile ring	FALSE	FALSE	FALSE		5	9950677	10873803	26085509	24413167	11082046																																																																						
P60010	GO:0005937	mating projection	FALSE	FALSE	FALSE		5	19403698	9082982	9128251	10427091	12395193																																																																						
P06700	GO:0005739	mitochondrion	FALSE	FALSE	FALSE		5	18054327	16079181	20097174	12374852	26232232																																																																						
Q06204	GO:0005739	mitochondrion	FALSE	FALSE	FALSE		5	8420959	8311478	9559856	12034470	10574795																																																																						
Q05131	GO:0005634	nucleus	FALSE	FALSE	FALSE		5	9434725	10612665	9168958	9334211	15234975																																																																						
P32844	GO:0005886	plasma membrane	FALSE	FALSE	FALSE		5	22409218	15813700	19895414	7865884	20037597																																																																						
P60010	GO:0015630	microtubule cytoskeleton	FALSE	FALSE	FALSE		5	20139238	20517926	17416900	10982392	17768642																																																																						
P32795	GO:0000262	mitochondrial chromosome	FALSE	FALSE	FALSE		5	7498726	12524335	22857949	9683639	9933355																																																																						
P41698	GO:0001931	uropod	FALSE	FALSE	FALSE		5	11514631	11877459	15356260	11118203	20678480																																																																						
P60010	GO:0009986	cell surface	FALSE	FALSE	FALSE		5	22808269	9128251	9628892	12221131	8582632																																																																						
P60010	GO:0005794	Golgi apparatus	FALSE	FALSE	FALSE		4	18332110	15788396	11285273	11854411																																																																							
Q99260	GO:0005768	endosome	FALSE	FALSE	FALSE		4	20890676	11689439	27462928	11726510																																																																							
Q06058	GO:0005811	lipid particle	FALSE	FALSE	FALSE		4	18093937	22100922	26362606	26637296																																																																							
P39940	GO:0005771	multivesicular body	FALSE	TRUE	FALSE		4	15078904	18768754	19168755	26548973																																																																							
P40343	GO:0005773	vacuole	FALSE	FALSE	FALSE		4	7593183	17101785	9650782	11498011																																																																							
P36027	GO:0005618	cell wall	FALSE	FALSE	FALSE		4	17237519	24460703	25346786	10330137																																																																							
P54867	GO:0005618	cell wall	FALSE	FALSE	FALSE		4	24318926	24326069	10330137	17065552																																																																							
P04385	GO:0034399	nuclear periphery	FALSE	FALSE	FALSE		4	17373856	19181512	23335340	20702586																																																																							
P11076	GO:0000139	Golgi membrane	FALSE	TRUE	FALSE		4	11592960	16301316	17988226	16100119																																																																							
P08018	GO:0005634	nucleus	FALSE	FALSE	FALSE		4	12853477	9755161	15341652	15817773																																																																							
P60010	GO:0005618	cell wall	FALSE	FALSE	FALSE		4	12395193	19433213	13678596	18799621																																																																							
P31109	GO:0099503	secretory vesicle	FALSE	FALSE	FALSE		4	7597066	9195971	23897890	8089101																																																																							
Q05080	GO:0032157	prospore contractile ring	FALSE	FALSE	FALSE		4	11742975	9864366	21498574	23468521																																																																							
P38074	GO:0005774	vacuolar membrane	FALSE	FALSE	FALSE		4	7876244	16461380	1396551	19001374																																																																							
P47988	GO:0035371	microtubule plus-end	FALSE	FALSE	FALSE		4	15184402	15809031	16355535	11516644																																																																							
P19073	GO:0099503	secretory vesicle	FALSE	FALSE	FALSE		4	24945395	11706050	8167411	15192110																																																																							
P23724	GO:0005782	peroxisomal matrix	FALSE	FALSE	FALSE		4	10652355	9881165	11370741	11330035																																																																							
P38987	GO:0005819	spindle	FALSE	FALSE	FALSE		4	25658911	15147270	26507466	21321099																																																																							
Q04121	GO:0005886	plasma membrane	FALSE	FALSE	FALSE		4	22210050	18508966	14610088	15659172																																																																							
P39929	GO:0005771	multivesicular body	FALSE	TRUE	FALSE		4	14583093	11559748	12860994	15590834																																																																							
P38993	GO:0009986	cell surface	FALSE	FALSE	FALSE		4	7836366	12921533	9712864	9162052																																																																							
P53252	GO:0016020	membrane	FALSE	FALSE	FALSE		4	22368779	23458500	25002088	22712517																																																																							
P16474	GO:0016020	membrane	FALSE	FALSE	FALSE		4	8744950	8647883	7568189	19801418																																																																							
P53258	GO:0005886	plasma membrane	FALSE	FALSE	FALSE		4	10194338	1347948	9247172	20700541																																																																							
P06243	GO:0005816	spindle pole body	FALSE	FALSE	FALSE		4	9420333	12354095	11514436	10744974																																																																							
Q08162	GO:0070062	extracellular exosome	FALSE	FALSE	FALSE		4	20531389	9562621	20531386	24143261																																																																							
P46672	GO:0005634	nucleus	FALSE	FALSE	TRUE		4	15710377	11726524	10933876	17976650																																																																							
P32381	GO:0005884	actin filament	FALSE	FALSE	FALSE		4	11459849	21642440	16736254	9210376																																																																							
P06787	GO:0005634	nucleus	FALSE	FALSE	FALSE		4	17878171	8485166	2405853	8310294																																																																							
P06700	GO:0005737	cytoplasm	FALSE	FALSE	FALSE		4	20847055	17344398	12724214	12383511																																																																							
P00729	GO:0005770	late endosome	FALSE	FALSE	FALSE		4	9650782	12475953	10069819	9456318																																																																							
P01149	GO:0005794	Golgi apparatus	FALSE	FALSE	FALSE		4	8314793	10637300	7729411	8458343																																																																							
P60010	GO:0005829	cytosol	FALSE	FALSE	FALSE		4	12177043	10504325	7592954	12762840																																																																							
P07271	GO:0000262	mitochondrial chromosome	FALSE	TRUE	FALSE		4	1849081	17257907	22220754	15907372																																																																							
P54867	GO:0009986	cell surface	FALSE	FALSE	FALSE		4	24326069	10330137	17065552	27337501																																																																							
P03069	GO:0005737	cytoplasm	FALSE	FALSE	FALSE		4	1990293	14648200	12455686	19218424																																																																							
P39524	GO:0005768	endosome	FALSE	FALSE	FALSE		4	21212072	18199685	18245339	28057802																																																																							
P23561	GO:0005886	plasma membrane	FALSE	FALSE	FALSE		4	16428446	16543225	12808050	16546088																																																																							
P60010	GO:0032157	prospore contractile ring	FALSE	FALSE	FALSE		4	9442111	11082046	9950677	26771880																																																																							
P32319	GO:0044214	spanning component of plasma membrane	FALSE	TRUE	FALSE		4	1441754	9105038	8187177	8534908																																																																							
P09201	GO:0005773	vacuole	FALSE	FALSE	FALSE		4	9508768	9452458	22833678	8844145																																																																							
P19524	GO:0001725	stress fiber	FALSE	TRUE	FALSE		4	15961405	25308080	11148127	27689885																																																																							
P54003	GO:0005618	cell wall	FALSE	FALSE	FALSE		4	20433738	21115741	22202230	18799621																																																																							
P0CX85	GO:0005886	plasma membrane	FALSE	FALSE	FALSE		4	11884687	17449811	17270011	26340746																																																																							
P33328	GO:0099503	secretory vesicle	FALSE	FALSE	FALSE		4	23897890	7597066	9195971	8089101																																																																							
P0CG63	GO:0005794	Golgi apparatus	FALSE	TRUE	FALSE		4	22970698	27057003	22226946	11555416																																																																							
P39940	GO:0005773	vacuole	FALSE	TRUE	FALSE		4	17332499	18832381	20153431	19054125																																																																							
P07807	GO:0005739	mitochondrion	FALSE	FALSE	FALSE		4	22993211	9012810	21440554	7913473																																																																							
P40450	GO:0001725	stress fiber	FALSE	FALSE	FALSE		4	17344480	22918953	18182006	24828508																																																																							
P34110	GO:0005794	Golgi apparatus	FALSE	FALSE	FALSE		4	11038177	20936498	18222962	9700157																																																																							
Q00776	GO:0005768	endosome	FALSE	FALSE	FALSE		4	21304827	23840894	23028933	15047861																																																																							
P38182	GO:0005874	microtubule	FALSE	FALSE	FALSE		3	16740722	15187094	16300744																																																																								
P38928	GO:0044214	spanning component of plasma membrane	FALSE	TRUE	FALSE		3	8805277	8846915	11313501																																																																								
P32917	GO:0005938	cell cortex	FALSE	TRUE	FALSE		3	11739629	11781566	15322134																																																																								
P13365	GO:0005737	cytoplasm	FALSE	FALSE	FALSE		3	14685274	11509671	10611233																																																																								
